"Sõne","keel","Hääldus"
"#tsitaat","",""
"#ühendatud","",""
"#vastastikune","",""
"%","",""
"%-le","et","prots'endile"
"&","",""
"''Eesti","",""
"''Kolmekesi","",""
"''Õnn","",""
"'58ndal","et","viiekümnekaheksandal"
"'alaikum","",""
"'alayhi","",""
"'Ali","",""
"'Duc","",""
"'Dupont","",""
"'i","",""
"'Ilmselt","",""
"'J","",""
"'Ma","",""
"'Madame","",""
"'Mademoiselle","",""
"'N","",""
"'n'","",""
"'Penelope'","",""
"'Scotch","",""
"'Soode","",""
"'suvaline","",""
"'Tonda","",""
"'tuules","",""
"'väga","",""
"(10-20","",""
"(2002-2003)","et","(2002 - 2003)"
"(aastal","",""
"(ABM)","et","(aa bee emm)"
"(ADL)","et","(aa dee ell)"
"(Afsluitdijk)","",""
"(ajakirjanduses)","",""
"(AKP)","et","(aa kaa pee)"
"(alistumine)","",""
"(Ameerika","",""
"(ametiühing)","",""
"(Aranjuezi","",""
"(Armastuse","",""
"(Aude","",""
"(Austraalia)","",""
"(Ausus","",""
"(Bosayna","",""
"(Bretagne)","",""
"(BRGM)","",""
"(BRT)","",""
"(BUT","",""
"(Campo","",""
"(cay)","",""
"(CHP)","",""
"(cliff''i)","",""
"(cliffi)","",""
"(Clostridium)","",""
"(CNAS)","en","(tse enn aa ess)"
"(COBRA)","",""
"(coltan)","",""
"(COME","",""
"(Con","",""
"(congresso)","",""
"(CSA)","",""
"(Daiba","",""
"(Dasyurus","",""
"(deterrence)","en","(de'terrens)"
"(development)","en","(de'velopment)"
"(Dicerorhinus","",""
"(DVB)","",""
"(eestlased)","",""
"(eeter)","",""
"(EF)","",""
"(ehk","",""
"(Elu","",""
"(Elusammas)","",""
"(endise","",""
"(endisele)","",""
"(energia)","",""
"(EPA)","",""
"(eriti","",""
"(Euplectella","",""
"(FIEC)","",""
"(Florence)","",""
"(France)","",""
"(GIRLS)","",""
"(GL1800","",""
"(graafikul","",""
"(Gulabi","",""
"(Gustafi","",""
"(Hargla)","",""
"(Heldus)","",""
"(Heroiline)","",""
"(Hi","",""
"(hiina)","",""
"(hispaania)","",""
"(homoseksuaal)","",""
"(In","",""
"(inglise)","",""
"(Ingmar","",""
"(ingver)","",""
"(isa)","",""
"(itaalia)","",""
"(ja","",""
"(jaapani)","",""
"(Joseph","",""
"(Joshua","",""
"(jumal)","",""
"(Jumalanna)","",""
"(Jüri)","",""
"(kaaluga","",""
"(kahjuks)","",""
"(Kanaarid","",""
"(Kantaat","",""
"(Kell)","",""
"(key)","",""
"(kirsiõis)","",""
"(Kodanikukoostöö","",""
"(kõhn)","",""
"(kollasaba)","",""
"(Kolm","",""
"(Kolmnurkne","",""
"(Kondiranda)","",""
"(kontrollige","",""
"(kotkas)","",""
"(kreeka","",""
"(Krokodilli)","",""
"(Kuldne","",""
"(kuna","",""
"(Kuupaistesonaat)","",""
"(lähedane)","",""
"(lahja)","",""
"(lahke)","",""
"(laste","",""
"(leib)","",""
"(leiva","",""
"(Lenin)","",""
"(lennuk","",""
"(Leontopithecus","",""
"(lihapakkimise)","",""
"(lilla)","",""
"(lintnuudlid)","",""
"(Little","",""
"(lobby)","",""
"(Loddigesia","",""
"(Lõpp)","",""
"(Lõunameri)","",""
"(LTRO)","",""
"(lugeda","",""
"(lugejatele","",""
"(Luik)","",""
"(ma","",""
"(maa)","",""
"(Manis","",""
"(mees)","",""
"(mesi)","",""
"(metafoorselt","",""
"(missis)","",""
"(mitte","",""
"(mitteametlik)","",""
"(Mõnikord)","",""
"(mõrsja)","",""
"(Must","",""
"(MV)","",""
"(nagu","",""
"(Narri","",""
"(need","",""
"(neemest)","",""
"(Néon","",""
"(nii","",""
"(NIST)","",""
"(NOAA)","",""
"(NORAD)","",""
"(Norra)","",""
"(Novaja","",""
"(Noyz)","",""
"(õhk)","",""
"(Ole","",""
"(oleks","",""
"(Olen","",""
"(olgu","",""
"(On","",""
"(oranž)","",""
"(Ornithoptera","",""
"(otsetõlkes","",""
"(ou","",""
"(Õun)","",""
"(OUT","",""
"(Padi)","",""
"(Pagar)","",""
"(Phie","",""
"(pidagu","",""
"(pilketants)","",""
"(pirun)","",""
"(poeg)","",""
"(põlisrahvaste","",""
"(põlvkond)","",""
"(põrsapraad","",""
"(Portugal)","",""
"(pr","",""
"(president)","",""
"(Proštšenije","",""
"(Proteus","",""
"(Prussakas)","",""
"(püha","",""
"(Pühendus)","",""
"(PUK)","",""
"(purpur)","",""
"(PUT","",""
"(puudutades","",""
"(PVC)","en","(pee vee tsee)"
"(raha)","",""
"(Ranits)","",""
"(rästas)","",""
"(ravitsejamehed)","",""
"(RAX)","",""
"(RECUERDAME)","",""
"(Rhinoderma","",""
"(Ritalini)","",""
"(RKP)","",""
"(Rootsi)","",""
"(Rõuge)","",""
"(Roumanie)","",""
"(rumeenlased)","",""
"(Sa","",""
"(saan","",""
"(Saarde)","",""
"(saksa)","",""
"(Sanitarium)","",""
"(Sarve)","",""
"(sekretär)","",""
"(sellega","",""
"(Sepavasar)","",""
"(Seppia)","",""
"(Sha-la-lie)","",""
"(shura)","",""
"(Singapur)","",""
"(Sklifossovski-nim","",""
"(Sõda)","",""
"(sõjalaevastik)","",""
"(Sõjale)","",""
"(Solenodon","",""
"(Soome)","",""
"(Sosistades)","",""
"(Süldijalg)","",""
"(sümpaatia","",""
"(surnu)","",""
"(Suurbritannia)","",""
"(suure","",""
"(Suusaparadiisis)","",""
"(Ta","",""
"(tähelepanu)","",""
"(tähtsad","",""
"(täna","",""
"(Tarvastu)","",""
"(TBT)","en","(tee bee tee)"
"(Tekk)","",""
"(teksase","",""
"(Teras)","",""
"(Théo)","",""
"(Tõeliste","",""
"(Tõota","",""
"(Truudusetus)","",""
"(tuba)","",""
"(Tüdruk","",""
"(Tuluke)","",""
"(UCT)","en","(uu tsee tee)"
"(Ummik)","",""
"(Unetus)","",""
"(UNFPA)","",""
"(UNHCR)","en","(uu enn haa tsee err)"
"(uni)","",""
"(ÜRGVALGUS)","",""
"(üsna","",""
"(v","",""
"(Vaikselt","",""
"(välja","",""
"(vanem)","",""
"(Varastatud","",""
"(värskem)","",""
"(Vastuseis)","",""
"(veenuskarplane)","",""
"(Veidrik)","",""
"(vene)","",""
"(veri","",""
"(vesi)","",""
"(Vihmavaling)","",""
"(vihur)","",""
"(Viimne","",""
"(Viljandi)","",""
"(Viron)","",""
"(või","",""
"(Vola)","",""
"(võlad)","",""
"(Volare)","",""
"(võõrtööline)","",""
"(Wikluh","",""
"(x+1)","",""
"(x+3)","",""
"**Moodsa","",""
"+","",""
"-20°-ne","et","miinus kahekümnekraadine"
"-Ei","",""
"-Hästi","",""
"-Hei","",""
"-Jah","",""
"-Kasper","",""
"-Lanceti","",""
"-Lapse","et","la'pse"
"-Ma","",""
"-Pajusti","",""
"-Rasked","",""
"-Raudteekompanii","",""
"-Saksa","",""
"-Siis","",""
"-Ta","",""
"-Taavet","",""
"-Tahad","",""
"-Tahaks","",""
